zone,left_ratio,middle_ratio,right_ratio,timestamp
RIGHT,0.9248,0.0,0.5686,23:49:00
RIGHT,0.9248,0.0,0.4953,23:49:00
RIGHT,0.8325,0.0,0.4953,23:49:00
RIGHT,0.8325,0.0,0.5284,23:49:00
RIGHT,0.8053,0.0,0.5217,23:49:01
RIGHT,0.7188,0.0,0.5515,23:49:01
RIGHT,0.7062,0.0,0.4713,23:49:01
RIGHT,0.7524,0.0,0.5129,23:49:01
RIGHT,0.7832,0.0,0.4774,23:49:01
RIGHT,0.8202,0.0,0.4701,23:49:02
RIGHT,1.0065,0.0,0.4559,23:49:02
RIGHT,1.0301,0.0,0.3821,23:49:02
RIGHT,0.8428,0.0,0.3405,23:49:02
RIGHT,0.7888,0.0,0.23,23:49:02
RIGHT,0.6309,0.0,0.26,23:49:03
RIGHT,0.6309,0.0,0.2905,23:49:03
RIGHT,0.9005,0.0,0.2987,23:49:03
RIGHT,1.0006,0.0,0.2657,23:49:03
RIGHT,0.9939,0.0,0.3316,23:49:03
RIGHT,0.9276,0.0,0.3512,23:49:04
RIGHT,0.9276,0.0,0.3916,23:49:04
RIGHT,0.8443,0.0,0.3916,23:49:04
RIGHT,0.7346,0.0,0.3939,23:49:04
RIGHT,0.7346,0.0,0.3328,23:49:04
RIGHT,0.7487,0.0,0.3328,23:49:04
RIGHT,0.5485,0.0,0.4513,23:49:05
RIGHT,0.6864,0.0,0.4761,23:49:05
RIGHT,0.7517,0.0,0.4906,23:49:05
RIGHT,0.6417,0.0,0.4906,23:49:05
RIGHT,0.8002,0.0,0.4261,23:49:05
RIGHT,0.8506,0.0,0.4137,23:49:06
RIGHT,0.8487,0.0,0.3768,23:49:06
RIGHT,0.8159,0.0,0.4484,23:49:06
RIGHT,0.7593,0.0,0.4884,23:49:06
RIGHT,0.7255,0.0,0.4371,23:49:06
RIGHT,0.7555,0.0,0.4046,23:49:07
RIGHT,0.8777,0.0,0.3075,23:49:07
RIGHT,0.807,0.0,0.3141,23:49:07
RIGHT,0.9089,0.0,0.315,23:49:07
RIGHT,0.8962,0.0,0.3554,23:49:07
RIGHT,0.8798,0.0,0.3588,23:49:08
RIGHT,0.8798,0.0,0.2925,23:49:08
RIGHT,0.9177,0.0,0.2925,23:49:08
RIGHT,0.9177,0.0,0.3002,23:49:08
RIGHT,0.9364,0.0,0.3194,23:49:08
RIGHT,0.7449,0.0,0.3343,23:49:08
RIGHT,0.7,0.0,0.3653,23:49:09
RIGHT,0.7774,0.0,0.3491,23:49:09
RIGHT,0.6474,0.0,0.2625,23:49:09
RIGHT,0.7929,0.0,0.2206,23:49:09
RIGHT,0.8414,0.0,0.236,23:49:09
RIGHT,0.7888,0.0,0.236,23:49:10
RIGHT,0.7888,0.0,0.2198,23:49:10
RIGHT,0.8328,0.0,0.2198,23:49:10
RIGHT,0.8328,0.0,0.2135,23:49:10
RIGHT,0.8463,0.0,0.2135,23:49:10
RIGHT,0.8885,0.0,0.2135,23:49:10
RIGHT,0.8885,0.0,0.2794,23:49:10
RIGHT,0.9553,0.0,0.2794,23:49:10
